region,state_abb,id,year,avg_temp,temp_hist,temp_hist_sd,temp_sd,precip,precip_hist,precip_hist_sd,precip_sd,outcome
Northeast,CT,101,1909,28,25.58333333333333,4.245359950710892,4.1185978646143715,4.005,3.4766666666666666,1.1784718562631205,0.9641827378648995,Early Spring
Northeast,CT,101,1910,29.2,26.089999999999996,4.241218092588006,4.1185978646143715,2.52,3.5266666666666664,1.2081292455258592,0.9641827378648995,Early Spring
Northeast,CT,101,1911,24.9,26.166666666666664,4.103158314345758,4.1185978646143715,2.81,3.378,1.1442431376180109,0.9641827378648995,Early Spring
Northeast,CT,101,1912,23.15,25.85666666666667,4.124311346783116,4.1185978646143715,3.5700000000000003,3.411,1.1620681356191676,0.9641827378648995,Late Winter
Northeast,CT,101,1913,28.049999999999997,25.633333333333333,3.907803638436607,4.1185978646143715,3.765,3.4463333333333335,1.2039308566071132,0.9641827378648995,Early Spring
Northeast,CT,101,1914,22.05,25.523333333333333,4.016489716905604,4.1185978646143715,2.92,3.352666666666667,1.1782610508572073,0.9641827378648995,Late Winter
Northeast,CT,101,1915,27.5,25.776666666666664,4.152413228610081,4.1185978646143715,2.33,3.1866666666666665,1.2243242004036679,0.9641827378648995,Early Spring
Northeast,CT,101,1916,21.549999999999997,25.653333333333332,4.314467080318186,4.1185978646143715,3.425,3.2333333333333334,1.1669199664641183,0.9641827378648995,Late Winter
Northeast,CT,101,1917,24.5,25.379999999999995,4.197386358570297,4.1185978646143715,2.8,3.144,1.1516603812310529,0.9641827378648995,Early Spring
Northeast,CT,101,1918,26.35,24.973333333333333,3.695088616390758,4.1185978646143715,2.5700000000000003,3.0073333333333334,1.0835978046729209,0.9641827378648995,Early Spring
Northeast,CT,101,1919,30.099999999999998,25.486666666666665,3.81680941403698,4.1185978646143715,3.0700000000000003,3.022666666666667,1.0963180277027194,0.9641827378648995,Early Spring
Northeast,CT,101,1920,26.150000000000002,25.67666666666667,3.7118159166735545,4.1185978646143715,3.51,3.107666666666667,1.080447957580907,0.9641827378648995,Early Spring
Northeast,CT,101,1921,32.85,26.276666666666664,4.02407211593828,4.1185978646143715,2.96,3.093,1.0522233951110618,0.9641827378648995,Early Spring
Northeast,CT,101,1922,29,26.593333333333337,3.928704361671338,4.1185978646143715,3.355,3.1613333333333333,1.0401450129142216,0.9641827378648995,Early Spring
Northeast,CT,101,1923,22.049999999999997,26.36,4.071470815720515,4.1185978646143715,2.495,3.0736666666666665,1.0236498316089118,0.9641827378648995,Late Winter
Northeast,CT,101,1924,24.75,26.14333333333333,3.928847731632642,4.1185978646143715,2.345,2.963,0.9581125314104779,0.9641827378648995,Late Winter
Northeast,CT,101,1925,32.35,26.35333333333333,4.164099389233761,4.1185978646143715,3.05,2.998333333333334,0.8534004174797865,0.9641827378648995,Early Spring
Northeast,CT,101,1926,23.2,26.24,4.257570600711908,4.1185978646143715,3.005,3.011333333333333,0.8960572798240035,0.9641827378648995,Late Winter
Northeast,CT,101,1927,30.700000000000003,26.743333333333332,4.313497793894491,4.1185978646143715,2.625,2.9483333333333333,0.8897199215493133,0.9641827378648995,Early Spring
